sample-id	rindtype	style	name	continent	country	region	longitude	latitude	ph	salt	moisture	animal_source	pasteurized
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	numeric	numeric	categorical	categorical	categorical	categorical	categorical
11488.CSB279	natural	NA	Bethlehem	North_America	USA	Connecticut	-73.210236	41.611893	6.95	0.044293775	33.33333333	cow	N
11488.CSB280	natural	NA	Bethlehem	North_America	USA	Connecticut	-73.210236	41.611893	6.55	0.045997737	34.80519481	cow	N
11488.CSB281	natural	NA	Bethlehem	North_America	USA	Connecticut	-73.210236	41.611893	6.54	0.068926154	31.33333333	cow	N
11488.CSB282	natural	NA	Bethlehem	North_America	USA	Connecticut	-73.210236	41.611893	6.55	0.030862483	34.90566038	cow	N
11488.CSB290	washed	alpine	Pleasant_Ridge_Reserve	North_America	USA	Wisconsin	-90.136253	43.054545	6.29	0.220927133	18.88111888	cow	N
11488.CSB291	washed	alpine	Pleasant_Ridge_Reserve	North_America	USA	Wisconsin	-90.136253	43.054545	6.15	0.300428558	18.04123711	cow	N
11488.CSB292	washed	alpine	Pleasant_Ridge_Reserve	North_America	USA	Wisconsin	-90.136253	43.054545	6.1	0.0850591	22.89156627	cow	N
11488.CSB299	bloomy	NA	Cosne_de_Port_Aubry	Europe	France	Centre	2.907705	47.389123	6.33	0.286382511	33.91089109	goat	N
11488.CSB300	bloomy	NA	Cosne_de_Port_Aubry	Europe	France	Centre	2.907705	47.389123	6.76	0.178213553	25.35211268	goat	N
11488.CSB301	bloomy	NA	Cosne_de_Port_Aubry	Europe	France	Centre	2.907705	47.389123	6.37	0.134602767	47.56838906	goat	N
11488.CSB302	natural	NA	Fromage_du_Maquis	Europe	France	Corsica	9.01289	42.0396	7.08	0.085097163	47.64011799	sheep	Y
11488.CSB303	natural	NA	Fromage_du_Maquis	Europe	France	Corsica	9.01289	42.0396	6.7	0.092828815	46.77419355	sheep	Y
11488.CSB304	natural	NA	Fromage_du_Maquis	Europe	France	Corsica	9.01289	42.0396	7.48	0.073228464	27.72861357	sheep	Y
11488.CSB305	natural	NA	Lavort_Brebis	Europe	France	Auvergne	3.486423	46.008276	6.9	0.153357695	18.79699248	sheep	N
11488.CSB306	natural	NA	Lavort_Brebis	Europe	France	Auvergne	3.486423	46.008276	7.08	0.179628052	29.74137931	sheep	N
11488.CSB307	natural	NA	Lavort_Brebis	Europe	France	Auvergne	3.486423	46.008276	6.96	0.166631299	26.4516129	sheep	N
11488.CSB308	bloomy	NA	Maconnais	Europe	France	Bourgogne	4.828731	46.306884	6.12	0.480657935	22.22222222	goat	N
11488.CSB309	bloomy	NA	Maconnais	Europe	France	Bourgogne	4.828731	46.306884	5.95	0.451199575	23.48484848	goat	N
11488.CSB310	bloomy	NA	Maconnais	Europe	France	Bourgogne	4.828731	46.306884	6.08	0.526405665	26.47058824	goat	N
11488.CSB312	washed	NA	Chevrotin_des_Aravis	Europe	France	Savoie	6.539931	46.013352	8.06	0.137289575	44.71153846	goat	N
11488.CSB313	washed	NA	Chevrotin_des_Aravis	Europe	France	Savoie	6.539931	46.013352	7.63	0.169286934	56.12244898	goat	N
11488.CSB314	washed	washed_bloomy	Langres	Europe	France	Burgundy-Champagne	6.773163	47.949477	6.49	0.180339505	58.61875351	cow	N
11488.CSB315	washed	washed_bloomy	Langres	Europe	France	Burgundy-Champagne	6.773163	47.949477	6.48	0.192874593	53.78927911	cow	N
11488.CSB316	washed	washed_bloomy	Langres	Europe	France	Burgundy-Champagne	6.773163	47.949477	6.47	0.192113688	58.53899309	cow	N
11488.CSB317	bloomy	NA	Tarentais	Europe	France	Savoie	6.874525	45.590996	6.58	0.322439273	37.5	goat	N
11488.CSB318	bloomy	NA	Tarentais	Europe	France	Savoie	6.874525	45.590996	6.56	0.23042372	38.81748072	goat	N
11488.CSB319	bloomy	NA	Tarentais	Europe	France	Savoie	6.874525	45.590996	6.56	0.266713887	31.44508671	goat	N
11488.CSB320	bloomy	NA	Camembert_de_Normandie	Europe	France	Normandy	-1.530385	49.2178	6.35	0.19060087	56.09756098	cow	N
11488.CSB321	bloomy	NA	Camembert_de_Normandie	Europe	France	Normandy	-1.530385	49.2178	6.62	0.189099966	58.12807882	cow	N
11488.CSB322	bloomy	NA	Camembert_de_Normandie	Europe	France	Normandy	-1.530385	49.2178	6.31	0.172666073	62.54681648	cow	N
11488.CSB323	washed	alpine	Beaufort_Alpage	Europe	France	Savoie	6.4724	45.4932	7.08	0.104061951	23.80952381	cow	N
11488.CSB324	washed	alpine	Beaufort_Alpage	Europe	France	Savoie	6.4724	45.4932	7.08	0.108771129	24.71910112	cow	N
11488.CSB325	washed	alpine	Beaufort_Alpage	Europe	France	Savoie	6.4724	45.4932	7.01	0.088734793	30.95238095	cow	N
11488.CSB326	bloomy	NA	Gaperon	Europe	France	Auvergne	3.34485	45.70327	7.44	0.064520525	57.5	cow	Y
11488.CSB327	bloomy	NA	Gaperon	Europe	France	Auvergne	3.34485	45.70327	7.22	0.087952787	50.33783784	cow	Y
11488.CSB328	bloomy	NA	Gaperon	Europe	France	Auvergne	3.34485	45.70327	7.25	0.070804915	53.09278351	cow	Y
11488.CSB329	bloomy	NA	Gour_Noir	Europe	France	NA	2.165652	45.293574	6.31	0.136919825	52.35259083	goat	N
11488.CSB330	bloomy	NA	Gour_Noir	Europe	France	NA	2.165652	45.293574	6.28	0.150256009	51.78571429	goat	N
11488.CSB331	bloomy	NA	Gour_Noir	Europe	France	NA	2.165652	45.293574	6.35	0.133923102	48.06866953	goat	N
11488.CSB332	washed	NA	Durrus	Europe	Ireland	Co._Cork	-9.527764	51.643696	8.28	0.094407018	45.94594595	cow	Y
11488.CSB333	washed	NA	Durrus	Europe	Ireland	Co._Cork	-9.527764	51.643696	7.41	0.115213086	42.80442804	cow	Y
11488.CSB334	washed	NA	Durrus	Europe	Ireland	Co._Cork	-9.527764	51.643696	7.62	0.147619313	51.10701107	cow	Y
11488.CSB335	washed	NA	Milleens	Europe	Ireland	Co._Cork	-9.9572	51.677015	6.91	0.200342332	141.5831663	cow	Y
11488.CSB336	washed	NA	Milleens	Europe	Ireland	Co._Cork	-9.9572	51.677015	6.67	0.164162968	56.55172414	cow	Y
11488.CSB337	washed	NA	Milleens	Europe	Ireland	Co._Cork	-9.9572	51.677015	6.71	0.135713172	55.75221239	cow	Y
11488.CSB338	washed	alpine	Comte	Europe	France	Doubs_county	5.928718	46.459832	7.15	0.143115941	26.41509434	cow	N
11488.CSB339	washed	alpine	Comte	Europe	France	Doubs_county	5.928718	46.459832	6.97	0.152264392	24.13793103	cow	N
11488.CSB340	washed	alpine	Comte	Europe	France	Doubs_county	5.928718	46.459832	7.36	0.119895068	26.90721649	cow	N
11488.CSB341	natural	NA	Majorero	Europe	Spain	Canary_Islands	-14.053676	28.358744	6.84	0.294443032	12.09677419	goat	N
11488.CSB342	natural	NA	Majorero	Europe	Spain	Canary_Islands	-14.053676	28.358744	6.75	0.234947457	16.38888889	goat	N
11488.CSB420	bloomy	NA	Rubine	Europe	Italy	Gelati	8.44053	44.55247	6.81	0.043629574	50.64935065	goat	N
11488.CSB343	natural	NA	Majorero	Europe	Spain	Canary_Islands	-14.053676	28.358744	6.66	0.238087859	19.84126984	goat	N
11488.CSB344	natural	NA	Queso_Divinri	Europe	Spain	Cantabria	-3.987843	43.18284	6.4	0.116753071	10.21505376	cow	Y
11488.CSB345	natural	NA	Queso_Divinri	Europe	Spain	Cantabria	-3.987843	43.18284	6.63	0.140604539	23.27365729	cow	Y
11488.CSB353B	natural	clothbound	Westcombe_Cheddar	Europe	England	Somerset	-2.50513	51.148123	6.43	0.15343975	15.04065041	cow	N
11488.CSB354	natural	clothbound	Westcombe_Cheddar	Europe	England	Somerset	-2.50513	51.148123	5.86	0.177697649	9.090909091	cow	N
11488.CSB357	natural	clothbound	Quicke_s_Cheddar	Europe	England	Somerset	-3.583268	50.777112	5.2	0.202049373	8.045977011	cow	N
11488.CSB358	natural	clothbound	Quicke_s_Cheddar	Europe	England	Somerset	-3.583268	50.777112	5.25	0.208641869	19.24398625	cow	N
11488.CSB360	natural	blue	Colston-Basset_Stilton	Europe	England	Nottinghamshire	-0.959312	52.89195	7.39	0.321106339	17.9245283	cow	Y
